algorithm,task_completion_rate_mean,task_completion_rate_sd,collision_rate_mean,collision_rate_sd,average_steps_mean,average_steps_sd,average_return_mean,average_return_sd
ddqn,0.9111111111111111,0.15396007178390025,0.0,0.0,59.98888888888889,72.55674662966554,8.511222222222223,2.2651473666392192
dqn,0.6666666666666666,0.5773502691896258,0.0,0.0,103.21111111111111,132.48107761460096,5.63455555555556,7.096995548456737
