algorithm,train_seed,task_completion_rate,collision_rate,average_steps,average_steps_success,average_return
ddqn,42,1.0,0.0,18.766666666666666,18.766666666666666,9.812333333333333
ddqn,123,0.7333333333333333,0.0,143.76666666666668,102.95454545454545,5.895666666666668
ddqn,2026,1.0,0.0,17.433333333333334,17.433333333333334,9.825666666666667
dqn,42,0.0,0.0,256.0,,-2.559999999999989
dqn,123,1.0,0.0,20.266666666666666,20.266666666666666,9.797333333333334
dqn,2026,1.0,0.0,33.36666666666667,33.36666666666667,9.666333333333334
