algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
ddqn,42,66,618,-10.04,4,0,1,0.990215,,
ddqn,42,67,620,-10.02,2,0,1,0.9901833333333333,,
ddqn,42,68,630,-10.1,10,0,1,0.990025,,
ddqn,42,69,633,-10.03,3,0,1,0.9899775,,
ddqn,42,70,643,-10.1,10,0,1,0.9898191666666667,,
ddqn,42,71,649,-10.06,6,0,1,0.9897241666666666,,
ddqn,42,72,654,-10.049999999999999,5,0,1,0.989645,,
ddqn,42,73,667,-10.129999999999999,13,0,1,0.9894391666666666,,
ddqn,42,74,670,-10.03,3,0,1,0.9893916666666667,,
ddqn,42,75,673,-10.03,3,0,1,0.9893441666666667,,
ddqn,42,76,676,-10.03,3,0,1,0.9892966666666667,,
ddqn,42,77,691,-10.15,15,0,1,0.9890591666666667,,
ddqn,42,78,693,-10.02,2,0,1,0.9890275,,
ddqn,42,79,695,-10.02,2,0,1,0.9889958333333333,,
ddqn,42,80,722,-10.27,27,0,1,0.9885683333333334,,
ddqn,42,81,743,-10.209999999999999,21,0,1,0.9882358333333333,,
ddqn,42,82,755,-10.12,12,0,1,0.9880458333333333,,
ddqn,42,83,759,-10.04,4,0,1,0.9879825,,
ddqn,42,84,764,-10.049999999999999,5,0,1,0.9879033333333334,,
ddqn,42,85,778,-10.14,14,0,1,0.9876816666666667,,
ddqn,42,86,782,-10.04,4,0,1,0.9876183333333334,,
ddqn,42,87,786,-10.04,4,0,1,0.987555,,
ddqn,42,88,797,-10.11,11,0,1,0.9873808333333334,,
ddqn,42,89,853,-10.56,56,0,1,0.9864941666666667,,
ddqn,42,90,867,-10.14,14,0,1,0.9862725,,
ddqn,42,91,869,-10.02,2,0,1,0.9862408333333333,,
ddqn,42,92,871,-10.02,2,0,1,0.9862091666666667,,
ddqn,42,93,892,-10.209999999999999,21,0,1,0.9858766666666666,,
ddqn,42,94,907,-10.15,15,0,1,0.9856391666666666,,
ddqn,42,95,909,-10.02,2,0,1,0.9856075,,
ddqn,42,96,912,-10.03,3,0,1,0.98556,,
ddqn,42,97,934,-10.22,22,0,1,0.9852116666666667,,
ddqn,42,98,943,-10.09,9,0,1,0.9850691666666667,,
ddqn,42,99,948,-10.049999999999999,5,0,1,0.98499,,
ddqn,42,100,953,-10.049999999999999,5,0,1,0.9849108333333333,,
ddqn,42,101,954,-10.01,1,0,1,0.984895,,
ddqn,42,102,963,-10.09,9,0,1,0.9847525,,
ddqn,42,103,973,-10.1,10,0,1,0.9845941666666667,,
ddqn,42,104,980,-10.07,7,0,1,0.9844833333333334,,
ddqn,42,105,986,-10.06,6,0,1,0.9843883333333333,,
ddqn,42,106,997,-10.11,11,0,1,0.9842141666666666,,
ddqn,42,107,1003,-10.06,6,0,1,0.9841191666666667,,
ddqn,42,108,1025,-10.22,22,0,1,0.9837708333333334,,
ddqn,42,109,1044,-10.19,19,0,1,0.98347,,
ddqn,42,110,1048,-10.04,4,0,1,0.9834066666666667,,
ddqn,42,111,1055,-10.07,7,0,1,0.9832958333333334,,
ddqn,42,112,1058,-10.03,3,0,1,0.9832483333333333,,
ddqn,42,113,1074,-10.16,16,0,1,0.982995,,
ddqn,42,114,1085,-10.11,11,0,1,0.9828208333333334,,
ddqn,42,115,1087,-10.02,2,0,1,0.9827891666666667,,
ddqn,42,116,1110,-10.23,23,0,1,0.982425,,
ddqn,42,117,1136,-10.26,26,0,1,0.9820133333333333,,
ddqn,42,118,1157,-10.209999999999999,21,0,1,0.9816808333333333,,
ddqn,42,119,1161,-10.04,4,0,1,0.9816175,,
ddqn,42,120,1175,-10.14,14,0,1,0.9813958333333334,,
ddqn,42,121,1179,-10.04,4,0,1,0.9813325,,
ddqn,42,122,1187,-10.08,8,0,1,0.9812058333333333,,
ddqn,42,123,1191,-10.04,4,0,1,0.9811425,,
ddqn,42,124,1203,-10.12,12,0,1,0.9809525,,
ddqn,42,125,1216,-10.129999999999999,13,0,1,0.9807466666666667,,
ddqn,42,126,1219,-10.03,3,0,1,0.9806991666666667,,
ddqn,42,127,1221,-10.02,2,0,1,0.9806675,,
ddqn,42,128,1227,-10.06,6,0,1,0.9805725,,
ddqn,42,129,1234,-10.07,7,0,1,0.9804616666666667,,
ddqn,42,130,1242,-10.08,8,0,1,0.980335,,
ddqn,42,131,1246,-10.04,4,0,1,0.9802716666666667,,
ddqn,42,132,1250,-10.04,4,0,1,0.9802083333333333,,
ddqn,42,133,1256,-10.06,6,0,1,0.9801133333333333,,
ddqn,42,134,1269,-10.129999999999999,13,0,1,0.9799075,,
ddqn,42,135,1271,-10.02,2,0,1,0.9798758333333333,,
ddqn,42,136,1273,-10.02,2,0,1,0.9798441666666666,,
ddqn,42,137,1275,-10.02,2,0,1,0.9798125,,
ddqn,42,138,1279,-10.04,4,0,1,0.9797491666666667,,
ddqn,42,139,1280,-10.01,1,0,1,0.9797333333333333,,
ddqn,42,140,1287,-10.07,7,0,1,0.9796225,,
ddqn,42,141,1297,-10.1,10,0,1,0.9794641666666667,,
ddqn,42,142,1299,-10.02,2,0,1,0.9794325,,
ddqn,42,143,1303,-10.04,4,0,1,0.9793691666666666,,
ddqn,42,144,1321,-10.18,18,0,1,0.9790841666666666,,
ddqn,42,145,1323,-10.02,2,0,1,0.9790525,,
ddqn,42,146,1328,-10.049999999999999,5,0,1,0.9789733333333334,,
ddqn,42,147,1335,-10.07,7,0,1,0.9788625,,
ddqn,42,148,1355,-10.2,20,0,1,0.9785458333333333,,
ddqn,42,149,1374,-10.19,19,0,1,0.978245,,
ddqn,42,150,1378,-10.04,4,0,1,0.9781816666666666,,
ddqn,42,151,1383,-10.049999999999999,5,0,1,0.9781025,,
ddqn,42,152,1394,-10.11,11,0,1,0.9779283333333333,,
ddqn,42,153,1410,-10.16,16,0,1,0.977675,,
ddqn,42,154,1414,-10.04,4,0,1,0.9776116666666667,,
ddqn,42,155,1418,-10.04,4,0,1,0.9775483333333334,,
ddqn,42,156,1438,-10.2,20,0,1,0.9772316666666667,,
ddqn,42,157,1441,-10.03,3,0,1,0.9771841666666666,,
ddqn,42,158,1447,-10.06,6,0,1,0.9770891666666667,,
ddqn,42,159,1450,-10.03,3,0,1,0.9770416666666667,,
ddqn,42,160,1458,-10.08,8,0,1,0.976915,,
ddqn,42,161,1460,-10.02,2,0,1,0.9768833333333333,,
ddqn,42,162,1469,-10.09,9,0,1,0.9767408333333334,,
ddqn,42,163,1485,-10.16,16,0,1,0.9764875,,
ddqn,42,164,1492,-10.07,7,0,1,0.9763766666666667,,
ddqn,42,165,1498,-10.06,6,0,1,0.9762816666666667,,
ddqn,42,166,1523,-10.25,25,0,1,0.9758858333333333,,
ddqn,42,167,1529,-10.06,6,0,1,0.9757908333333334,,
ddqn,42,168,1537,-10.08,8,0,1,0.9756641666666667,,
ddqn,42,169,1542,-10.049999999999999,5,0,1,0.975585,,
ddqn,42,170,1577,-10.35,35,0,1,0.9750308333333333,,
ddqn,42,171,1579,-10.02,2,0,1,0.9749991666666666,,
ddqn,42,172,1584,-10.049999999999999,5,0,1,0.97492,,
ddqn,42,173,1585,-10.01,1,0,1,0.9749041666666667,,
ddqn,42,174,1619,-10.34,34,0,1,0.9743658333333334,,
ddqn,42,175,1646,-10.27,27,0,1,0.9739383333333334,,
ddqn,42,176,1661,-10.15,15,0,1,0.9737008333333333,,
ddqn,42,177,1664,-10.03,3,0,1,0.9736533333333334,,
ddqn,42,178,1672,-10.08,8,0,1,0.9735266666666667,,
ddqn,42,179,1674,-10.02,2,0,1,0.973495,,
ddqn,42,180,1676,-10.02,2,0,1,0.9734633333333333,,
ddqn,42,181,1682,-10.06,6,0,1,0.9733683333333334,,
ddqn,42,182,1686,-10.04,4,0,1,0.973305,,
ddqn,42,183,1693,-10.07,7,0,1,0.9731941666666667,,
ddqn,42,184,1727,-10.34,34,0,1,0.9726558333333334,,
ddqn,42,185,1733,-10.06,6,0,1,0.9725608333333333,,
ddqn,42,186,1737,-10.04,4,0,1,0.9724975,,
ddqn,42,187,1747,-10.1,10,0,1,0.9723391666666666,,
ddqn,42,188,1752,-10.049999999999999,5,0,1,0.97226,,
ddqn,42,189,1761,-10.09,9,0,1,0.9721175,,
