algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
ddqn,123,1,4,-10.04,4,0,1,0.9999366666666667,,
ddqn,123,2,21,-10.17,17,0,1,0.9996675,,
ddqn,123,3,26,-10.049999999999999,5,0,1,0.9995883333333333,,
ddqn,123,4,36,-10.1,10,0,1,0.99943,,
ddqn,123,5,71,-10.35,35,0,1,0.9988758333333333,,
ddqn,123,6,77,-10.06,6,0,1,0.9987808333333333,,
ddqn,123,7,93,-10.16,16,0,1,0.9985275,,
ddqn,123,8,97,-10.04,4,0,1,0.9984641666666667,,
ddqn,123,9,99,-10.02,2,0,1,0.9984325,,
ddqn,123,10,107,-10.08,8,0,1,0.9983058333333333,,
ddqn,123,11,112,-10.049999999999999,5,0,1,0.9982266666666667,,
ddqn,123,12,132,-10.2,20,0,1,0.99791,,
ddqn,123,13,137,-10.049999999999999,5,0,1,0.9978308333333333,,
ddqn,123,14,159,-10.22,22,0,1,0.9974825,,
ddqn,123,15,164,-10.049999999999999,5,0,1,0.9974033333333333,,
ddqn,123,16,187,-10.23,23,0,1,0.9970391666666667,,
ddqn,123,17,192,-10.049999999999999,5,0,1,0.99696,,
ddqn,123,18,202,-10.1,10,0,1,0.9968016666666667,,
ddqn,123,19,225,-10.23,23,0,1,0.9964375,,
ddqn,123,20,227,-10.02,2,0,1,0.9964058333333333,,
ddqn,123,21,236,-10.09,9,0,1,0.9962633333333333,,
ddqn,123,22,244,-10.08,8,0,1,0.9961366666666667,,
ddqn,123,23,261,-10.17,17,0,1,0.9958675,,
ddqn,123,24,292,-10.31,31,0,1,0.9953766666666667,,
ddqn,123,25,300,-10.08,8,0,1,0.99525,,
ddqn,123,26,305,-10.049999999999999,5,0,1,0.9951708333333333,,
ddqn,123,27,309,-10.04,4,0,1,0.9951075,,
ddqn,123,28,320,-10.11,11,0,1,0.9949333333333333,,
ddqn,123,29,327,-10.07,7,0,1,0.9948225,,
ddqn,123,30,341,-10.14,14,0,1,0.9946008333333334,,
ddqn,123,31,353,-10.12,12,0,1,0.9944108333333334,,
ddqn,123,32,356,-10.03,3,0,1,0.9943633333333334,,
ddqn,123,33,373,-10.17,17,0,1,0.9940941666666667,,
ddqn,123,34,392,-10.19,19,0,1,0.9937933333333333,,
ddqn,123,35,394,-10.02,2,0,1,0.9937616666666667,,
ddqn,123,36,400,-10.06,6,0,1,0.9936666666666667,,
ddqn,123,37,462,-10.620000000000001,62,0,1,0.992685,,
