algorithm,seed,episode,global_step,episode_return,episode_steps,success,collision,epsilon,mean_loss,mean_q
dqn,123,1,4,-10.04,4,0,1,0.9999366666666667,,
dqn,123,2,21,-10.17,17,0,1,0.9996675,,
dqn,123,3,26,-10.049999999999999,5,0,1,0.9995883333333333,,
dqn,123,4,36,-10.1,10,0,1,0.99943,,
dqn,123,5,71,-10.35,35,0,1,0.9988758333333333,,
dqn,123,6,77,-10.06,6,0,1,0.9987808333333333,,
dqn,123,7,93,-10.16,16,0,1,0.9985275,,
dqn,123,8,97,-10.04,4,0,1,0.9984641666666667,,
dqn,123,9,99,-10.02,2,0,1,0.9984325,,
dqn,123,10,107,-10.08,8,0,1,0.9983058333333333,,
dqn,123,11,112,-10.049999999999999,5,0,1,0.9982266666666667,,
dqn,123,12,132,-10.2,20,0,1,0.99791,,
dqn,123,13,137,-10.049999999999999,5,0,1,0.9978308333333333,,
dqn,123,14,159,-10.22,22,0,1,0.9974825,,
dqn,123,15,164,-10.049999999999999,5,0,1,0.9974033333333333,,
dqn,123,16,187,-10.23,23,0,1,0.9970391666666667,,
dqn,123,17,192,-10.049999999999999,5,0,1,0.99696,,
dqn,123,18,202,-10.1,10,0,1,0.9968016666666667,,
dqn,123,19,225,-10.23,23,0,1,0.9964375,,
dqn,123,20,227,-10.02,2,0,1,0.9964058333333333,,
dqn,123,21,236,-10.09,9,0,1,0.9962633333333333,,
dqn,123,22,244,-10.08,8,0,1,0.9961366666666667,,
dqn,123,23,261,-10.17,17,0,1,0.9958675,,
dqn,123,24,292,-10.31,31,0,1,0.9953766666666667,,
dqn,123,25,300,-10.08,8,0,1,0.99525,,
dqn,123,26,305,-10.049999999999999,5,0,1,0.9951708333333333,,
dqn,123,27,309,-10.04,4,0,1,0.9951075,,
dqn,123,28,320,-10.11,11,0,1,0.9949333333333333,,
dqn,123,29,327,-10.07,7,0,1,0.9948225,,
dqn,123,30,341,-10.14,14,0,1,0.9946008333333334,,
dqn,123,31,353,-10.12,12,0,1,0.9944108333333334,,
dqn,123,32,356,-10.03,3,0,1,0.9943633333333334,,
dqn,123,33,373,-10.17,17,0,1,0.9940941666666667,,
dqn,123,34,392,-10.19,19,0,1,0.9937933333333333,,
dqn,123,35,394,-10.02,2,0,1,0.9937616666666667,,
dqn,123,36,400,-10.06,6,0,1,0.9936666666666667,,
dqn,123,37,462,-10.620000000000001,62,0,1,0.992685,,
dqn,123,38,466,-10.04,4,0,1,0.9926216666666666,,
dqn,123,39,472,-10.06,6,0,1,0.9925266666666667,,
dqn,123,40,477,-10.049999999999999,5,0,1,0.9924475,,
dqn,123,41,506,-10.29,29,0,1,0.9919883333333334,,
dqn,123,42,508,-10.02,2,0,1,0.9919566666666667,,
dqn,123,43,515,-10.07,7,0,1,0.9918458333333333,,
dqn,123,44,525,-10.1,10,0,1,0.9916875,,
dqn,123,45,552,-10.27,27,0,1,0.99126,,
dqn,123,46,557,-10.049999999999999,5,0,1,0.9911808333333333,,
dqn,123,47,577,-10.2,20,0,1,0.9908641666666667,,
dqn,123,48,588,-10.11,11,0,1,0.99069,,
dqn,123,49,591,-10.03,3,0,1,0.9906425,,
dqn,123,50,610,-10.19,19,0,1,0.9903416666666667,,
dqn,123,51,616,-10.06,6,0,1,0.9902466666666667,,
dqn,123,52,619,-10.03,3,0,1,0.9901991666666666,,
dqn,123,53,621,-10.02,2,0,1,0.9901675,,
dqn,123,54,625,-10.04,4,0,1,0.9901041666666667,,
dqn,123,55,628,-10.03,3,0,1,0.9900566666666667,,
dqn,123,56,633,-10.049999999999999,5,0,1,0.9899775,,
dqn,123,57,656,-10.23,23,0,1,0.9896133333333333,,
dqn,123,58,667,-10.11,11,0,1,0.9894391666666666,,
dqn,123,59,670,-10.03,3,0,1,0.9893916666666667,,
dqn,123,60,672,-10.02,2,0,1,0.98936,,
dqn,123,61,685,-10.129999999999999,13,0,1,0.9891541666666667,,
dqn,123,62,687,-10.02,2,0,1,0.9891225,,
dqn,123,63,699,-10.12,12,0,1,0.9889325,,
dqn,123,64,714,-10.15,15,0,1,0.988695,,
dqn,123,65,744,-10.3,30,0,1,0.98822,,
dqn,123,66,749,-10.049999999999999,5,0,1,0.9881408333333334,,
dqn,123,67,754,-10.049999999999999,5,0,1,0.9880616666666666,,
dqn,123,68,765,-10.11,11,0,1,0.9878875,,
dqn,123,69,781,-10.16,16,0,1,0.9876341666666667,,
dqn,123,70,790,-10.09,9,0,1,0.9874916666666667,,
dqn,123,71,795,-10.049999999999999,5,0,1,0.9874125,,
dqn,123,72,797,-10.02,2,0,1,0.9873808333333334,,
dqn,123,73,803,-10.06,6,0,1,0.9872858333333333,,
dqn,123,74,806,-10.03,3,0,1,0.9872383333333333,,
dqn,123,75,815,-10.09,9,0,1,0.9870958333333333,,
