algorithm,train_seed,episode,episode_seed,return,steps,success,collision
dqn,42,1,10000,-2.5599999999999894,256,0,0
dqn,42,2,10001,-2.5599999999999894,256,0,0
dqn,42,3,10002,-2.5599999999999894,256,0,0
dqn,42,4,10003,-2.5599999999999894,256,0,0
dqn,42,5,10004,-2.5599999999999894,256,0,0
dqn,42,6,10005,-2.5599999999999894,256,0,0
dqn,42,7,10006,-2.5599999999999894,256,0,0
dqn,42,8,10007,-2.5599999999999894,256,0,0
dqn,42,9,10008,-2.5599999999999894,256,0,0
dqn,42,10,10009,-2.5599999999999894,256,0,0
dqn,42,11,10010,-2.5599999999999894,256,0,0
dqn,42,12,10011,-2.5599999999999894,256,0,0
dqn,42,13,10012,-2.5599999999999894,256,0,0
dqn,42,14,10013,-2.5599999999999894,256,0,0
dqn,42,15,10014,-2.5599999999999894,256,0,0
dqn,42,16,10015,-2.5599999999999894,256,0,0
dqn,42,17,10016,-2.5599999999999894,256,0,0
dqn,42,18,10017,-2.5599999999999894,256,0,0
dqn,42,19,10018,-2.5599999999999894,256,0,0
dqn,42,20,10019,-2.5599999999999894,256,0,0
dqn,42,21,10020,-2.5599999999999894,256,0,0
dqn,42,22,10021,-2.5599999999999894,256,0,0
dqn,42,23,10022,-2.5599999999999894,256,0,0
dqn,42,24,10023,-2.5599999999999894,256,0,0
dqn,42,25,10024,-2.5599999999999894,256,0,0
dqn,42,26,10025,-2.5599999999999894,256,0,0
dqn,42,27,10026,-2.5599999999999894,256,0,0
dqn,42,28,10027,-2.5599999999999894,256,0,0
dqn,42,29,10028,-2.5599999999999894,256,0,0
dqn,42,30,10029,-2.5599999999999894,256,0,0
