algorithm,train_seed,episode,episode_seed,return,steps,success,collision
ddqn,2026,1,10000,9.86,14,1,0
ddqn,2026,2,10001,9.790000000000001,21,1,0
ddqn,2026,3,10002,9.82,18,1,0
ddqn,2026,4,10003,9.790000000000001,21,1,0
ddqn,2026,5,10004,9.82,18,1,0
ddqn,2026,6,10005,9.84,16,1,0
ddqn,2026,7,10006,9.73,27,1,0
ddqn,2026,8,10007,9.86,14,1,0
ddqn,2026,9,10008,9.84,16,1,0
ddqn,2026,10,10009,9.85,15,1,0
ddqn,2026,11,10010,9.71,29,1,0
ddqn,2026,12,10011,9.7,30,1,0
ddqn,2026,13,10012,9.77,23,1,0
ddqn,2026,14,10013,9.790000000000001,21,1,0
ddqn,2026,15,10014,9.68,32,1,0
ddqn,2026,16,10015,9.78,22,1,0
ddqn,2026,17,10016,9.75,25,1,0
ddqn,2026,18,10017,9.83,17,1,0
ddqn,2026,19,10018,9.86,14,1,0
ddqn,2026,20,10019,9.78,22,1,0
ddqn,2026,21,10020,9.8,20,1,0
ddqn,2026,22,10021,9.65,35,1,0
ddqn,2026,23,10022,9.8,20,1,0
ddqn,2026,24,10023,9.84,16,1,0
ddqn,2026,25,10024,9.790000000000001,21,1,0
ddqn,2026,26,10025,9.84,16,1,0
ddqn,2026,27,10026,9.77,23,1,0
ddqn,2026,28,10027,9.790000000000001,21,1,0
ddqn,2026,29,10028,9.81,19,1,0
ddqn,2026,30,10029,9.25,75,1,0
